#{"t_start": 1521428186.542729, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,23,193.772504
0.0,23,194.021185
0.0,23,194.265561
0.0,21,194.477719
0.0,23,194.710191
0.0,23,194.957566
0.0,21,195.179355
0.0,23,195.435863
0.0,23,195.680825
0.0,23,195.925316
0.0,23,196.171831
0.0,23,196.419579
0.0,23,196.67594
0.0,23,196.921607
0.0,23,197.166869
0.0,23,197.416025
0.0,23,197.664804
1.0,69,198.39015
1.0,72,199.137499
1.0,71,199.914809
0.0,21,200.149603
0.0,23,200.409351
0.0,23,200.678714
0.0,23,200.939753
0.0,23,201.195918
0.0,21,201.429217
0.0,23,201.683985
0.0,23,201.943703
1.0,72,202.682899
0.0,23,202.922389
0.0,23,203.166022
0.0,23,203.417024
1.0,69,204.122649
0.0,23,204.361369
0.0,23,204.606854
0.0,23,204.850642
0.0,23,205.098039
0.0,23,205.3419
0.0,23,205.570632
0.0,21,205.792276
0.0,21,206.014402
0.0,23,206.254944
0.0,23,206.511267
0.0,23,206.755092
0.0,23,206.995333
0.0,21,207.218371
0.0,23,207.461134
1.0,69,208.19156
0.0,23,208.437334
0.0,23,208.691934
0.0,23,208.946355
0.0,23,209.200881
0.0,23,209.473231
0.0,21,209.712264
1.0,69,210.482461
0.0,23,210.74032
0.0,23,210.996003
0.0,23,211.232721
1.0,49,211.732233
0.0,23,211.980983
0.0,23,212.22669
0.0,23,212.472411
0.0,23,212.737926
0.0,23,213.000976
0.0,21,213.239439
0.0,21,213.478033
1.0,68,214.244383
0.0,23,214.515625
0.0,23,214.775115
0.0,23,215.038126
0.0,23,215.301518
0.0,23,215.542752
0.0,23,215.794633
0.0,23,216.036795
0.0,21,216.256036
0.0,23,216.498655
0.0,23,216.73806
0.0,23,216.990488
0.0,23,217.233526
2.0,98,218.253038
1.0,71,218.99901
0.0,23,219.252275
0.0,23,219.52449
0.0,21,219.759491
0.0,23,220.013438
0.0,21,220.250804
0.0,23,220.506477
0.0,23,220.772386
0.0,23,221.022531
0.0,21,221.24371
1.0,50,221.78245
0.0,23,222.032383
0.0,23,222.292019
0.0,23,222.543554
0.0,21,222.776189
0.0,23,223.030159
0.0,23,223.277591
0.0,23,223.537721
0.0,21,223.768275
0.0,23,224.021489
0.0,23,224.271587
0.0,23,224.523688
0.0,23,224.788305
0.0,23,225.039193
0.0,23,225.289876
2.0,96,226.333917
0.0,23,226.59225
0.0,23,226.851217
1.0,69,227.597689
0.0,21,227.828904
0.0,23,228.081038
0.0,23,228.328838
0.0,23,228.548285
0.0,23,228.762297
0.0,23,229.014735
0.0,23,229.285307
0.0,23,229.550141
0.0,23,229.799527
1.0,51,230.327731
0.0,23,230.570182
0.0,23,230.812285
0.0,23,231.05391
0.0,23,231.321039
0.0,23,231.573848
0.0,23,231.780751
1.0,72,232.508473
0.0,23,232.776011
0.0,23,233.056923
0.0,21,233.301621
0.0,23,233.5746
2.0,120,234.966521
1.0,74,235.832351
0.0,23,236.065439
2.0,99,237.26689
0.0,23,237.51583
0.0,23,237.764562
0.0,21,237.991024
0.0,23,238.231321
0.0,23,238.459646
1.0,51,238.991783
0.0,23,239.243209
0.0,23,239.497979
0.0,23,239.764656
0.0,23,240.020501
0.0,23,240.277498
0.0,21,240.473057
0.0,23,240.687488
0.0,23,240.913437
0.0,23,241.137526
0.0,23,241.386736
0.0,23,241.656443
0.0,23,241.926311
0.0,23,242.172393
0.0,23,242.403533
0.0,23,242.645354
0.0,21,242.871941
0.0,23,243.128625
0.0,23,243.371148
0.0,23,243.614638
2.0,98,244.71895
1.0,53,245.320248
0.0,23,245.568349
0.0,23,245.836674
0.0,21,246.068779
0.0,23,246.322256
0.0,23,246.583411
1.0,49,247.126108
0.0,23,247.379856
0.0,21,247.611586
0.0,23,247.862298
0.0,23,248.114442
0.0,23,248.363814
0.0,23,248.593484
0.0,23,248.816663
0.0,23,249.058019
0.0,23,249.297207
0.0,23,249.545404
1.0,70,250.311471
0.0,23,250.577648
0.0,23,250.845654
0.0,23,251.114628
0.0,23,251.369461
0.0,23,251.595966
0.0,21,251.799745
2.0,96,252.784384
0.0,23,253.025155
0.0,23,253.261266
0.0,23,253.510468
0.0,23,253.750809
0.0,23,254.001955
0.0,23,254.252286
0.0,21,254.479919
0.0,23,254.727897
0.0,23,254.962788
0.0,23,255.192501
2.0,96,256.203969
0.0,23,256.45176
0.0,23,256.708654
0.0,21,256.943642
0.0,23,257.205826
0.0,23,257.466599
0.0,23,257.727376
2.0,98,258.842245
0.0,23,259.103712
0.0,21,259.345303
1.0,71,260.143177
0.0,21,260.382393
0.0,23,260.621247
0.0,23,260.867343
0.0,21,261.108063
1.0,50,261.675549
0.0,23,261.935049
0.0,23,262.211689
0.0,23,262.475141
0.0,23,262.737008
0.0,23,262.982058
0.0,21,263.208665
0.0,23,263.477114
1.0,72,264.267468
1.0,70,265.04007
0.0,23,265.297458
0.0,23,265.55086
0.0,23,265.816542
0.0,21,266.05227
0.0,23,266.307841
0.0,23,266.565931
0.0,23,266.82094
0.0,23,267.088072
0.0,23,267.347538
0.0,21,267.584042
0.0,23,267.846437
0.0,23,268.100152
0.0,23,268.370232
0.0,23,268.626574
0.0,23,268.883518
0.0,23,269.141081
2.0,117,270.440244
0.0,23,270.709029
0.0,21,270.943111
0.0,23,271.200524
0.0,21,271.433524
0.0,23,271.686461
2.0,98,272.6693
0.0,21,272.885591
0.0,23,273.134623
0.0,23,273.389724
3.0,149,275.001149
0.0,23,275.263313
0.0,23,275.513091
1.0,72,276.289103
0.0,23,276.542251
0.0,23,276.79372
0.0,23,277.056865
0.0,23,277.306412
0.0,23,277.559457
0.0,23,277.810291
0.0,23,278.060666
0.0,23,278.324267
0.0,23,278.574546
0.0,23,278.826964
0.0,23,279.077827
0.0,21,279.305438
1.0,69,280.069494
0.0,23,280.319633
0.0,23,280.570226
0.0,23,280.825784
2.0,120,282.127138
0.0,23,282.377297
0.0,23,282.582392
0.0,21,282.767329
0.0,21,282.955857
0.0,23,283.161599
2.0,98,284.097427
1.0,71,284.824647
0.0,23,285.065203
0.0,23,285.301778
0.0,23,285.540127
0.0,23,285.796278
0.0,23,286.037824
0.0,23,286.276007
0.0,23,286.516142
0.0,23,286.755252
0.0,23,286.992017
0.0,23,287.235557
0.0,21,287.468989
0.0,23,287.725166
0.0,23,287.983086
0.0,23,288.251905
0.0,23,288.508214
0.0,23,288.760787
0.0,21,288.988876
2.0,96,289.965362
1.0,69,290.65179
1.0,72,291.41495
1.0,71,292.090265
1.0,72,293.124879
1.0,74,294.086426
0.0,23,294.351825
0.0,21,294.578395
2.0,98,295.679546
1.0,71,296.481627
0.0,21,296.698243
0.0,23,296.934463
0.0,23,297.16188
0.0,23,297.391776
0.0,23,297.617055
0.0,23,297.842155
2.0,98,298.878518
